Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
E0,19/08/06,Arsenal,Aston Villa,1,1,D,0,0,D,G Poll,19,5,11,3,10,19,18,1,1,2,0,0
E0,19/08/06,Bolton,Tottenham,2,0,H,2,0,H,P Dowd,8,9,6,6,19,22,6,3,0,1,0,0
E0,19/08/06,Everton,Watford,2,1,H,1,0,H,P Walton,6,12,2,8,12,13,0,6,2,2,0,0
E0,19/08/06,Newcastle,Wigan,2,1,H,1,0,H,M Atkinson,9,14,8,9,17,20,4,11,1,2,0,0
E0,19/08/06,Portsmouth,Blackburn,3,0,H,1,0,H,A Wiley,21,9,16,7,20,17,6,2,2,1,0,2
E0,19/08/06,Reading,Middlesbrough,3,2,H,2,2,D,M Halsey,14,7,9,5,8,15,8,2,1,3,0,0
E0,19/08/06,Sheffield United,Liverpool,1,1,D,0,0,D,R Styles,5,12,3,7,10,16,0,12,1,2,0,0
E0,19/08/06,West Ham,Charlton,3,1,H,0,1,A,H Webb,16,4,5,2,14,14,6,0,2,2,0,1
E0,20/08/06,Chelsea,Man City,3,0,H,2,0,H,S Bennett,10,5,4,2,7,15,5,2,1,3,0,1
E0,20/08/06,Man United,Fulham,5,1,H,4,1,H,A Marriner,15,12,7,8,14,20,5,2,1,1,0,0
E0,22/08/06,Tottenham,Sheffield United,2,0,H,2,0,H,P Walton,18,6,13,3,5,9,6,4,0,1,0,0
E0,22/08/06,Watford,West Ham,1,1,D,0,0,D,M Atkinson,11,8,4,4,12,12,5,1,0,0,0,0
E0,23/08/06,Aston Villa,Reading,2,1,H,1,1,D,L Mason,11,5,6,3,9,6,2,7,2,1,0,1
E0,23/08/06,Blackburn,Everton,1,1,D,0,0,D,U Rennie,10,10,5,4,22,20,5,3,4,3,0,0
E0,23/08/06,Charlton,Man United,0,3,A,0,0,D,C Foy,8,21,2,11,14,11,4,11,1,1,0,0
E0,23/08/06,Fulham,Bolton,1,1,D,0,0,D,A Wiley,11,4,4,1,9,16,1,6,0,2,0,0
E0,23/08/06,Man City,Portsmouth,0,0,D,0,0,D,D Gallagher,6,3,3,1,15,13,8,0,2,1,0,0
