Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
E0,14/08/04,Aston Villa,Southampton,2,0,H,2,0,H,U Rennie,14,6,5,2,14,9,12,6,0,0,0,0
E0,14/08/04,Blackburn,West Brom,1,1,D,0,1,A,C Foy,12,4,4,2,15,17,4,5,1,0,0,0
E0,14/08/04,Bolton,Charlton,4,1,H,2,0,H,P Dowd,21,9,11,5,10,12,9,5,1,1,0,0
E0,14/08/04,Man City,Fulham,1,1,D,1,0,H,M Messias,12,4,5,2,14,12,9,4,0,2,0,0
E0,14/08/04,Middlesbrough,Newcastle,2,2,D,0,1,A,S Bennett,15,11,8,4,16,13,6,7,3,1,0,0
E0,14/08/04,Norwich,Crystal Palace,1,1,D,1,0,H,P Walton,14,14,10,8,14,16,6,11,0,1,0,0
E0,14/08/04,Portsmouth,Birmingham,1,1,D,1,1,D,H Webb,14,16,8,11,13,16,8,4,2,4,0,0
E0,14/08/04,Tottenham,Liverpool,1,1,D,0,1,A,D Gallagher,14,16,7,8,17,11,3,8,3,1,0,0
E0,15/08/04,Chelsea,Man United,1,0,H,1,0,H,G Poll,8,11,5,3,17,8,2,3,0,0,0,0
E0,15/08/04,Everton,Arsenal,1,4,A,0,2,A,M Riley,9,18,5,14,14,19,0,7,2,1,0,0
E0,21/08/04,Birmingham,Chelsea,0,1,A,0,0,D,B Knight,9,7,3,3,10,16,8,2,0,0,0,0
E0,21/08/04,Charlton,Portsmouth,2,1,H,1,0,H,A Wiley,18,10,14,6,9,11,5,6,0,1,0,0
E0,21/08/04,Crystal Palace,Everton,1,3,A,1,1,D,M Clattenburg,15,14,9,7,6,18,6,6,1,1,0,1
E0,21/08/04,Fulham,Bolton,2,0,H,1,0,H,R Styles,23,10,12,4,11,13,8,4,0,0,0,0
E0,21/08/04,Liverpool,Man City,2,1,H,0,1,A,G Poll,15,7,10,4,9,17,8,3,1,3,0,1
E0,21/08/04,Man United,Norwich,2,1,H,1,0,H,N Barry,17,7,7,2,8,23,11,5,0,1,0,0
E0,21/08/04,Newcastle,Tottenham,0,1,A,0,0,D,M Dean,13,15,6,8,10,12,13,3,1,2,0,0
E0,21/08/04,Southampton,Blackburn,3,2,H,1,0,H,A D'Urso,13,10,7,6,12,18,3,6,0,3,0,0
E0,22/08/04,Arsenal,Middlesbrough,5,3,H,1,1,D,S Dunn,16,9,11,5,8,14,7,5,1,1,0,0
E0,22/08/04,West Brom,Aston Villa,1,1,D,1,1,D,M Halsey,14,9,5,4,12,20,12,4,2,2,0,0
E0,24/08/04,Birmingham,Man City,1,0,H,1,0,H,P Dowd,6,4,2,1,20,13,2,5,1,1,0,0
E0,24/08/04,Crystal Palace,Chelsea,0,2,A,0,1,A,C Foy,7,16,4,10,9,12,1,6,1,1,0,0
E0,25/08/04,Arsenal,Blackburn,3,0,H,0,0,D,N Barry,15,3,9,0,11,18,6,5,2,4,0,0
E0,25/08/04,Charlton,Aston Villa,3,0,H,2,0,H,H Webb,7,9,5,4,6,7,4,12,0,1,0,0
E0,25/08/04,Fulham,Middlesbrough,0,2,A,0,0,D,D Gallagher,6,10,2,5,10,8,1,6,0,1,0,0
E0,25/08/04,Newcastle,Norwich,2,2,D,1,0,H,M Halsey,23,13,15,5,17,10,12,6,0,1,0,0
E0,25/08/04,Southampton,Bolton,1,2,A,0,2,A,S Dunn,10,9,6,5,9,8,9,6,1,1,0,0
E0,25/08/04,West Brom,Tottenham,1,1,D,1,1,D,B Knight,4,12,2,6,13,10,4,5,0,0,0,0
E0,28/08/04,Aston Villa,Newcastle,4,2,H,1,2,A,M Riley,16,12,13,10,23,11,9,4,3,1,0,0
E0,28/08/04,Blackburn,Man United,1,1,D,1,0,H,A Wiley,8,24,4,15,25,17,4,14,3,1,1,0
E0,28/08/04,Chelsea,Southampton,2,1,H,2,1,H,S Bennett,16,6,7,2,11,12,9,0,0,4,0,0
E0,28/08/04,Everton,West Brom,2,1,H,1,1,D,P Walton,16,12,10,8,11,16,7,6,0,1,0,0
E0,28/08/04,Man City,Charlton,4,0,H,2,0,H,M Halsey,16,6,10,3,11,8,6,4,0,1,0,0
E0,28/08/04,Middlesbrough,Crystal Palace,2,1,H,0,0,D,M Dean,24,6,15,2,16,16,4,2,1,2,0,0
E0,28/08/04,Norwich,Arsenal,1,4,A,0,3,A,G Poll,5,18,5,15,15,5,4,10,1,1,0,0
E0,28/08/04,Tottenham,Birmingham,1,0,H,1,0,H,M Clattenburg,6,10,3,2,15,5,2,8,4,1,0,0
E0,29/08/04,Bolton,Liverpool,1,0,H,1,0,H,U Rennie,10,7,8,2,15,14,5,2,2,0,0,0
E0,30/08/04,Man United,Everton,0,0,D,0,0,D,D Gallagher,14,7,6,2,8,13,8,2,0,2,0,0
E0,30/08/04,Portsmouth,Fulham,4,3,H,3,2,H,B Knight,21,18,13,10,12,12,6,8,0,2,0,0
E0,11/09/04,Aston Villa,Chelsea,0,0,D,0,0,D,R Styles,11,18,5,10,9,12,2,9,0,1,0,0
E0,11/09/04,Bolton,Man United,2,2,D,0,1,A,M Messias,12,12,7,7,22,15,4,7,2,1,0,0
E0,11/09/04,Fulham,Arsenal,0,3,A,0,0,D,M Halsey,9,12,7,7,16,10,9,4,2,2,0,0
E0,11/09/04,Liverpool,West Brom,3,0,H,2,0,H,S Dunn,16,9,9,5,9,11,8,6,0,0,0,0
E0,11/09/04,Man City,Everton,0,1,A,0,0,D,S Bennett,13,6,4,5,14,9,9,6,1,3,0,1
E0,11/09/04,Middlesbrough,Birmingham,2,1,H,1,1,D,G Poll,14,5,6,3,16,19,6,3,2,3,0,0
E0,11/09/04,Newcastle,Blackburn,3,0,H,2,0,H,D Gallagher,7,5,4,1,10,19,8,5,2,1,0,0
E0,11/09/04,Portsmouth,Crystal Palace,3,1,H,1,1,D,P Dowd,16,6,7,3,14,21,8,7,0,2,0,0
E0,12/09/04,Tottenham,Norwich,0,0,D,0,0,D,H Webb,15,7,7,2,17,9,13,5,2,1,0,0
E0,13/09/04,Charlton,Southampton,0,0,D,0,0,D,N Barry,8,12,4,7,12,13,9,10,0,1,0,0
E0,18/09/04,Arsenal,Bolton,2,2,D,1,0,H,P Dowd,11,8,6,5,13,17,3,8,1,3,0,0
E0,18/09/04,Birmingham,Charlton,1,1,D,0,0,D,U Rennie,7,2,5,1,12,16,12,3,3,2,1,0
