Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
E0,17/08/2002,Blackburn,Sunderland,0,0,D,0,0,D,D Elleray,15,7,5,3,14,11,9,1,1,2,0,0
E0,17/08/2002,Charlton,Chelsea,2,3,A,2,1,H,G Barber,5,21,5,12,10,12,3,6,0,3,1,0
E0,17/08/2002,Everton,Tottenham,2,2,D,1,0,H,N Barry,13,10,9,5,18,4,10,5,1,1,0,0
E0,17/08/2002,Fulham,Bolton,4,1,H,3,1,H,A Wiley,13,3,6,1,16,12,7,4,1,2,0,0
E0,17/08/2002,Leeds,Man City,3,0,H,2,0,H,G Poll,13,18,8,10,13,13,2,7,1,1,0,0
E0,17/08/2002,Man United,West Brom,1,0,H,0,0,D,S Bennett,20,6,13,5,9,12,9,1,1,1,0,1
E0,17/08/2002,Southampton,Middlesboro,0,0,D,0,0,D,B Knight,12,11,5,5,11,14,3,4,0,0,0,0
E0,18/08/2002,Arsenal,Birmingham,2,0,H,2,0,H,M Riley,15,7,7,1,6,11,9,2,0,1,0,1
E0,18/08/2002,Aston Villa,Liverpool,0,1,A,0,0,D,A D'Urso,11,12,5,6,9,5,6,8,2,2,0,0
E0,19/08/2002,Newcastle,West Ham,4,0,H,0,0,D,P Durkin,13,7,10,4,7,9,7,1,1,2,0,0
E0,23/08/2002,Chelsea,Man United,2,2,D,2,1,H,G Poll,11,9,5,7,13,9,3,3,3,2,0,0
E0,24/08/2002,Birmingham,Blackburn,0,1,A,0,1,A,D Gallagher,15,13,10,9,10,17,6,4,1,2,0,0
E0,24/08/2002,Bolton,Charlton,1,2,A,1,1,D,M Messias,15,8,9,4,9,11,4,6,1,1,0,0
E0,24/08/2002,Liverpool,Southampton,3,0,H,1,0,H,J Winter,16,7,9,1,11,8,5,8,0,1,0,0
E0,24/08/2002,Man City,Newcastle,1,0,H,1,0,H,U Rennie,20,9,12,6,12,14,6,8,1,1,0,0
E0,24/08/2002,Middlesboro,Fulham,2,2,D,1,0,H,M Dean,6,10,3,4,18,7,8,11,4,2,0,0
E0,24/08/2002,Sunderland,Everton,0,1,A,0,1,A,R Styles,13,11,3,5,10,15,10,4,1,0,0,0
E0,24/08/2002,Tottenham,Aston Villa,1,0,H,1,0,H,C Wilkes,8,18,3,8,20,15,2,5,2,0,0,0
E0,24/08/2002,West Brom,Leeds,1,3,A,0,1,A,S Dunn,12,11,2,4,9,11,7,3,1,1,0,0
E0,24/08/2002,West Ham,Arsenal,2,2,D,1,0,H,N Barry,8,9,4,5,18,14,4,4,2,5,0,0
E0,27/08/2002,Arsenal,West Brom,5,2,H,3,0,H,P Durkin,10,8,8,6,9,9,1,1,3,2,0,0
E0,27/08/2002,Charlton,Tottenham,0,1,A,0,1,A,A Wiley,10,7,5,1,9,23,6,9,1,2,0,0
E0,28/08/2002,Aston Villa,Man City,1,0,H,0,0,D,D Pugh,11,7,6,1,13,11,5,4,1,3,0,0
E0,28/08/2002,Blackburn,Liverpool,2,2,D,1,1,D,S Bennett,7,5,4,3,17,10,5,2,3,1,0,0
E0,28/08/2002,Everton,Birmingham,1,1,D,0,0,D,E Wolstenholme,11,5,4,2,18,12,7,4,0,3,1,0
E0,28/08/2002,Leeds,Sunderland,0,1,A,0,0,D,M Halsey,20,9,9,4,13,11,8,1,2,0,0,0
E0,28/08/2002,Southampton,Chelsea,1,1,D,0,0,D,C Foy,12,10,4,3,16,11,5,6,2,1,0,0
E0,31/08/2002,Birmingham,Leeds,2,1,H,1,0,H,P Durkin,9,8,5,6,14,16,2,5,3,3,0,0
E0,31/08/2002,Man City,Everton,3,1,H,2,1,H,B Knight,7,14,6,8,12,11,7,6,1,0,1,0
E0,31/08/2002,Middlesboro,Blackburn,1,0,H,0,0,D,M Halsey,7,10,3,7,19,16,8,6,3,3,0,0
E0,31/08/2002,Sunderland,Man United,1,1,D,0,1,A,U Rennie,12,20,5,10,13,16,6,8,1,2,0,1
E0,31/08/2002,Tottenham,Southampton,2,1,H,1,1,D,M Dean,18,15,8,8,16,13,12,6,3,1,0,1
E0,31/08/2002,West Brom,Fulham,1,0,H,0,0,D,R Styles,8,6,5,1,17,16,5,7,4,3,0,0
E0,31/08/2002,West Ham,Charlton,0,2,A,0,2,A,J Winter,9,5,4,3,11,15,8,6,3,1,0,0
E0,01/09/2002,Bolton,Aston Villa,1,0,H,0,0,D,S Dunn,13,12,6,5,9,11,4,5,2,3,0,0
E0,01/09/2002,Chelsea,Arsenal,1,1,D,1,0,H,A D'Urso,8,8,2,5,20,16,6,2,5,2,0,1
E0,02/09/2002,Liverpool,Newcastle,2,2,D,0,0,D,G Poll,22,11,11,6,7,25,12,3,1,2,0,0
E0,03/09/2002,Man United,Middlesboro,1,0,H,1,0,H,M Riley,7,5,1,3,13,12,4,6,1,2,0,0
E0,10/09/2002,Arsenal,Man City,2,1,H,2,1,H,C Wilkes,13,5,5,4,16,14,7,6,1,2,0,1
E0,10/09/2002,Middlesboro,Sunderland,3,0,H,2,0,H,A Wiley,9,8,7,6,16,12,6,8,3,3,0,0
E0,11/09/2002,Aston Villa,Charlton,2,0,H,0,0,D,G Poll,12,8,5,2,16,16,6,2,0,1,0,0
E0,11/09/2002,Blackburn,Chelsea,2,3,A,2,1,H,M Riley,11,14,6,9,15,16,9,4,2,3,0,0
E0,11/09/2002,Fulham,Tottenham,3,2,H,0,2,A,M Halsey,13,7,8,4,8,11,9,6,0,1,0,0
E0,11/09/2002,Liverpool,Birmingham,2,2,D,1,0,H,N Barry,12,6,10,3,6,10,1,2,0,1,0,0
E0,11/09/2002,Man United,Bolton,0,1,A,0,0,D,G Barber,23,10,14,8,10,11,9,6,1,2,0,0
E0,11/09/2002,Newcastle,Leeds,0,2,A,0,1,A,D Gallagher,22,14,11,6,15,12,10,7,3,2,0,0
E0,11/09/2002,Southampton,Everton,1,0,H,0,0,D,S Bennett,11,18,7,10,13,19,4,13,3,3,0,0
E0,11/09/2002,West Ham,West Brom,0,1,A,0,1,A,A D'Urso,5,6,3,5,11,15,8,4,1,0,0,0
E0,14/09/2002,Bolton,Liverpool,2,3,A,0,1,A,R Styles,7,12,5,8,10,9,7,4,2,2,0,0
E0,14/09/2002,Charlton,Arsenal,0,3,A,0,1,A,S Dunn,9,10,3,8,8,13,1,6,0,3,0,0
E0,14/09/2002,Chelsea,Newcastle,3,0,H,2,0,H,B Knight,7,5,5,0,9,9,2,4,1,4,0,0
